Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Study Time Per Day,Material Name,Material Level,IQ of Student
Student_20,18,Female,Australia,California,New York City,Business,High,4,11,Computer Science,76,1.4208565307118148,Book,2,134
Student_21,12,Female,India,Ontario,Toronto,Doctor,Middle,5,3,Math,81,3.6682295175542445,Video,3,96
Student_22,8,Female,Canada,Maharashtra,Mumbai,Teacher,Low,9,1,Math,59,4.2328182480332055,PDF,3,128
Student_23,13,Female,Australia,Ontario,Houston,Engineer,Low,5,8,History,96,3.8198311096374877,Book,3,111
Student_24,15,Male,UK,Ontario,Houston,Other,Middle,1,9,Math,42,1.8902631425779026,Video,5,85
Student_25,15,Male,Australia,New York,Mumbai,Teacher,Low,2,8,Math,29,1.844110168097642,Book,3,90
Student_26,15,Female,USA,Ontario,New York City,Teacher,High,8,9,Science,69,3.2418734312665807,Book,1,109
Student_27,14,Male,UK,Texas,Houston,Other,High,10,1,Math,12,2.836469152579777,Online Course,2,104
Student_28,11,Female,UK,Texas,Los Angeles,Teacher,High,6,1,History,100,2.3217388492536104,Online Course,5,139
Student_29,7,Female,Canada,Texas,Los Angeles,Other,High,1,6,Computer Science,89,0.944449087014821,Interactive Session,5,88
Student_30,9,Female,Australia,California,Toronto,Teacher,High,3,2,Computer Science,23,1.3830446663079305,Video,4,124
Student_31,13,Female,Australia,Texas,Houston,Business,Middle,12,8,Science,28,1.1839626034052602,Online Course,3,91
Student_32,6,Male,UK,New York,Mumbai,Other,Low,11,3,History,48,4.839638635816585,Book,5,85
Student_33,13,Male,UK,New York,Houston,Business,High,5,5,History,34,4.166539533404666,Video,4,131
Student_34,14,Male,UK,New York,Toronto,Engineer,Low,3,6,History,3,3.9088491319999252,PDF,2,103
Student_35,10,Male,India,California,Houston,Teacher,Low,2,11,English,95,3.278429248302808,Video,4,137
Student_36,10,Female,USA,Texas,Los Angeles,Teacher,Low,1,6,Math,30,0.7822302741897903,Book,4,134
Student_37,6,Male,Australia,Texas,Los Angeles,Engineer,Low,12,4,Computer Science,9,3.8674841999008165,Book,1,102
Student_38,17,Male,USA,California,New York City,Other,Middle,5,2,Math,34,4.952124113545565,Book,5,121
Student_39,6,Male,Canada,California,New York City,Business,High,11,10,Science,44,2.4342457762271743,Video,3,116
Student_40,7,Male,Canada,Ontario,Mumbai,Teacher,Low,12,11,History,6,1.9657810590338833,PDF,5,121
Student_41,11,Male,Australia,Ontario,Los Angeles,Other,Low,2,3,Science,66,1.02773360829164,Interactive Session,1,124
Student_42,10,Male,USA,Texas,Los Angeles,Engineer,High,3,3,Science,53,1.6018310328853644,Interactive Session,3,111
Student_43,17,Male,UK,Maharashtra,Houston,Engineer,High,3,8,English,10,2.005881137553792,Book,2,105
Student_44,6,Female,Australia,New York,New York City,Teacher,Middle,5,2,Computer Science,63,1.6189222639390795,Interactive Session,4,99
Student_45,16,Female,UK,Texas,Toronto,Engineer,High,11,10,Computer Science,8,2.639613252998507,Book,1,100
Student_46,16,Male,USA,California,New York City,Business,Middle,12,11,English,18,2.2675250116723955,PDF,5,80
Student_47,14,Female,UK,Ontario,Toronto,Doctor,Low,12,10,Computer Science,64,1.6365907697380833,Interactive Session,2,80
Student_48,15,Female,UK,California,Mumbai,Other,Low,9,5,History,55,3.6757461816232113,Video,4,112
Student_49,14,Male,India,California,Mumbai,Other,High,4,4,Math,58,1.0417039676843343,Interactive Session,2,129
Student_50,12,Male,USA,Texas,Houston,Teacher,Low,1,9,History,13,4.137961173821687,Video,1,137
Student_51,9,Female,Australia,California,Los Angeles,Doctor,Low,8,3,Computer Science,47,2.787517212779088,Interactive Session,5,84
Student_52,9,Female,Canada,California,Los Angeles,Doctor,Low,12,8,Science,23,3.5788523542612354,Book,5,114
Student_53,15,Female,UK,Maharashtra,Toronto,Other,High,8,1,Math,30,2.656050232117825,Book,4,85
Student_54,11,Male,Canada,Ontario,Los Angeles,Engineer,Middle,1,7,History,7,4.167481989364022,Video,4,99
Student_55,18,Female,Canada,Maharashtra,Los Angeles,Teacher,High,3,6,History,0,3.4308194773531087,Interactive Session,3,117
Student_56,12,Female,UK,Maharashtra,Los Angeles,Business,Low,11,9,English,93,3.7170839189844633,PDF,1,99
Student_57,7,Female,Australia,California,Toronto,Engineer,High,6,3,Math,33,4.922772995645467,Online Course,3,105
Student_58,14,Male,Australia,California,Mumbai,Business,Low,10,2,History,58,4.161649582898625,Book,4,112
Student_59,14,Male,USA,Ontario,Mumbai,Business,High,8,6,Math,62,2.266263819733604,Book,4,120
Student_60,17,Male,UK,Texas,Los Angeles,Other,High,5,3,Computer Science,21,1.7196713953524254,Book,1,106
Student_61,10,Male,India,New York,New York City,Business,Middle,3,2,Science,93,2.3559763592239342,PDF,1,110
Student_62,12,Female,India,Maharashtra,Houston,Business,High,12,10,Computer Science,0,4.4715901681552275,PDF,3,129
Student_63,16,Male,Canada,California,Houston,Business,High,4,10,History,43,1.6000434487720323,Video,5,137
Student_64,9,Female,USA,New York,Los Angeles,Teacher,Low,10,12,English,69,4.090698994615979,Video,4,117
Student_65,13,Female,Canada,Ontario,Toronto,Business,Low,12,6,History,54,4.0886461080656895,Book,5,133
Student_66,6,Female,UK,New York,Houston,Doctor,High,10,4,Computer Science,49,3.982542282845885,Video,3,94
Student_67,12,Male,Australia,California,Los Angeles,Doctor,High,9,2,History,21,1.1540195682923575,Book,2,81
Student_68,9,Male,India,New York,Houston,Business,Low,6,4,History,18,2.8702227141507763,PDF,5,131
Student_69,9,Male,UK,Texas,Houston,Business,Low,8,9,English,11,0.6833949288373966,Online Course,4,134
Student_70,16,Male,Canada,California,Los Angeles,Doctor,Middle,4,6,Science,32,2.079390273618415,Online Course,4,94
Student_71,8,Female,Canada,Ontario,Houston,Other,Middle,1,5,Science,33,1.482184281141346,PDF,3,118
Student_72,14,Male,USA,New York,Houston,Doctor,Low,4,7,Math,61,1.3652269087910875,Book,5,115
Student_73,14,Female,USA,Ontario,Toronto,Teacher,High,1,2,Science,3,4.044049603857848,PDF,1,125
Student_74,10,Female,Canada,Maharashtra,Houston,Engineer,Middle,7,8,English,22,2.543921439703669,Online Course,3,139
Student_75,7,Male,USA,New York,Toronto,Business,Low,6,5,History,32,2.2994325213222733,PDF,5,133
Student_76,10,Female,Australia,Ontario,New York City,Doctor,High,3,7,History,73,4.651640691233407,Video,3,97
Student_77,9,Female,Canada,California,Los Angeles,Engineer,Low,2,10,Science,56,3.4689498090003204,Online Course,5,109
Student_78,14,Male,USA,New York,New York City,Teacher,Middle,4,2,History,29,1.9018145466940386,Online Course,3,89
Student_79,8,Male,India,New York,Houston,Business,Middle,4,11,Science,98,3.461654143687334,Book,1,112
Student_80,10,Male,USA,Ontario,Toronto,Doctor,Middle,6,6,Math,23,0.9426829575443194,Book,3,88
Student_81,18,Male,India,New York,Toronto,Doctor,Middle,2,11,Computer Science,3,4.497377824251911,PDF,5,95
Student_82,17,Female,USA,New York,Houston,Doctor,High,6,11,Science,51,3.7864989993236553,Video,1,81
Student_83,15,Female,Australia,Maharashtra,Houston,Doctor,Low,3,9,Computer Science,52,0.7643635583099855,PDF,4,88
Student_84,7,Female,UK,Ontario,Toronto,Other,Middle,11,8,English,89,3.914376965245155,Online Course,3,101
Student_85,15,Female,India,Ontario,Toronto,Teacher,High,6,7,History,88,1.423463362369491,Interactive Session,1,92
Student_86,9,Male,USA,California,New York City,Teacher,Low,5,7,Science,40,1.9568462833380904,Book,4,89
Student_87,12,Female,UK,Texas,New York City,Other,Middle,10,11,Computer Science,72,4.050164563734737,Online Course,4,98
Student_88,10,Male,India,Maharashtra,Toronto,Business,Low,3,4,Science,6,3.9151627805534495,Interactive Session,2,103
Student_89,13,Female,India,California,Mumbai,Engineer,Middle,11,12,Science,62,4.4344140619241434,Video,3,122
Student_90,13,Female,USA,California,New York City,Teacher,High,7,9,History,50,0.8645128760708978,Online Course,2,121
Student_91,10,Female,Canada,Maharashtra,Los Angeles,Other,High,7,10,Computer Science,55,4.201347778520768,Online Course,1,82
Student_92,10,Female,USA,New York,Toronto,Engineer,High,7,11,Math,3,2.9524083159072267,Online Course,1,80
Student_93,7,Male,USA,Maharashtra,Los Angeles,Engineer,Low,4,6,Math,14,4.025757595191292,Interactive Session,3,103
Student_94,14,Female,India,Ontario,Houston,Doctor,Middle,4,9,English,15,4.101751665391285,PDF,4,98
Student_95,11,Male,Australia,New York,New York City,Other,Low,4,3,Science,23,4.962064409883836,Online Course,1,105
Student_96,7,Male,Australia,New York,Houston,Other,High,7,6,History,67,1.9592086425028965,Online Course,1,126
Student_97,16,Male,Australia,Ontario,New York City,Engineer,Middle,1,10,History,61,2.670426246923787,PDF,4,128
Student_98,6,Male,India,Maharashtra,Houston,Engineer,Low,9,5,History,11,2.2865758505505323,Book,1,126
Student_99,15,Male,UK,Maharashtra,Los Angeles,Engineer,Low,12,9,Science,73,4.249031302930645,Video,4,80
Student_100,7,Female,USA,California,Mumbai,Business,Middle,10,3,Math,47,4.664820940429745,Video,4,111
Student_101,11,Male,Australia,Maharashtra,Mumbai,Engineer,High,11,1,Science,98,1.3926797980865904,Interactive Session,3,132
Student_102,6,Male,USA,Ontario,Los Angeles,Business,High,12,5,English,87,2.3875075471997964,PDF,3,109
Student_103,10,Male,Canada,Maharashtra,Toronto,Other,Middle,5,7,Computer Science,28,1.2925206293343312,Interactive Session,4,128
Student_104,11,Male,Australia,California,Los Angeles,Engineer,Low,12,11,English,89,4.413956742701391,Online Course,4,113
Student_105,9,Male,Canada,New York,Houston,Doctor,Middle,3,9,Math,35,2.5914684270629915,PDF,1,94
Student_106,11,Male,Australia,Texas,Toronto,Other,High,1,8,Computer Science,6,3.1455223791563927,Online Course,1,97
Student_107,9,Female,India,Ontario,Los Angeles,Engineer,High,9,8,History,17,3.7247909979212275,Online Course,4,81
Student_108,18,Female,USA,Texas,Los Angeles,Doctor,Middle,12,3,History,15,4.4623147461352435,Interactive Session,5,94
Student_109,18,Male,UK,New York,Houston,Other,Low,4,4,History,56,3.722289566097519,Book,2,133
Student_110,11,Female,Canada,California,New York City,Other,High,3,10,History,63,1.9103320151443453,Interactive Session,2,112
Student_111,7,Female,Australia,New York,Mumbai,Other,High,3,8,History,50,0.5467422883920813,Video,2,122
Student_112,6,Male,India,California,New York City,Engineer,Low,11,11,History,80,3.859601238978775,Interactive Session,1,85
Student_113,9,Female,USA,California,Los Angeles,Other,High,3,6,Science,39,3.782413846550798,PDF,1,104
Student_114,14,Female,USA,California,Mumbai,Teacher,High,8,5,Math,47,2.7396070303913,Video,5,106
Student_115,15,Male,India,California,Los Angeles,Doctor,Middle,7,1,Science,15,4.366658564891161,PDF,4,97
Student_116,12,Female,India,Ontario,New York City,Engineer,High,7,1,Science,90,0.9650920871823059,Interactive Session,3,106
Student_117,16,Female,Australia,Ontario,Houston,Other,Middle,1,4,English,40,3.227489813199317,Interactive Session,5,104
Student_118,7,Female,Canada,California,New York City,Other,High,4,3,History,98,1.1703705526134327,Video,3,120
Student_119,13,Male,India,Ontario,Los Angeles,Business,High,8,12,Math,48,3.338123780263046,Interactive Session,3,95
Student_120,14,Male,Australia,New York,Mumbai,Business,Middle,5,3,Computer Science,30,0.6528037913603725,PDF,3,93
Student_121,8,Female,USA,Maharashtra,Toronto,Teacher,Low,12,8,Computer Science,19,3.51989284346614,PDF,1,124
Student_122,15,Male,Australia,Texas,Houston,Teacher,High,10,4,Science,75,4.237190893657908,PDF,5,111
Student_123,6,Female,UK,Texas,New York City,Doctor,Middle,12,3,Computer Science,41,3.686265043574133,Video,2,94
Student_124,18,Female,Australia,New York,Houston,Doctor,Middle,1,5,English,34,0.8827429936069467,Interactive Session,3,91
Student_125,13,Male,UK,Ontario,Los Angeles,Engineer,Low,1,3,Math,34,3.299679636231088,Book,4,96
Student_126,8,Female,UK,Texas,New York City,Teacher,Middle,9,5,Math,72,1.2561814136296081,Video,1,84
Student_127,15,Female,India,California,Los Angeles,Business,High,7,10,Computer Science,3,1.9471455848390369,Video,3,117
Student_128,15,Male,Canada,California,New York City,Engineer,Middle,6,11,Computer Science,0,3.141119052203239,PDF,1,118
Student_129,10,Female,UK,California,Toronto,Business,High,5,5,English,18,0.716601063083318,Book,3,102
Student_130,18,Male,Canada,New York,Houston,Engineer,Low,12,10,Math,84,0.6210658518795936,Video,5,123
Student_131,17,Female,Canada,Texas,New York City,Engineer,High,6,6,English,18,4.863833164137787,Interactive Session,3,88
Student_132,6,Female,UK,California,Mumbai,Other,Middle,3,10,History,56,2.510846278964234,Video,1,112
Student_133,11,Male,Australia,Ontario,Mumbai,Other,Low,7,10,Computer Science,2,2.5255604882265557,Video,3,114
Student_134,10,Male,UK,Ontario,Mumbai,Teacher,High,9,4,History,40,1.3585433721274494,Online Course,2,119
Student_135,16,Male,India,California,Houston,Other,High,3,2,English,69,2.911605640348867,Interactive Session,5,92
Student_136,15,Male,Canada,Maharashtra,Los Angeles,Engineer,Middle,8,5,Math,51,1.133614608140429,Video,4,100
Student_137,13,Female,Australia,Ontario,Houston,Other,Low,9,4,Computer Science,17,0.5883697976800336,Book,5,83
Student_138,10,Male,India,Ontario,Mumbai,Teacher,Middle,1,12,History,39,3.124458752107178,PDF,4,89
Student_139,9,Female,Canada,Maharashtra,Houston,Engineer,Middle,3,12,English,56,4.11357717189164,Interactive Session,2,94
Student_140,18,Female,Canada,Ontario,Mumbai,Engineer,High,9,9,English,19,4.028884804659121,Online Course,2,114
Student_141,6,Female,UK,Maharashtra,Toronto,Teacher,Low,7,6,Math,94,3.8057984634877897,Interactive Session,1,129
Student_142,12,Female,Australia,Ontario,Toronto,Business,High,1,12,Computer Science,65,3.8360322253349115,Book,4,96
Student_143,14,Female,Canada,Maharashtra,Toronto,Engineer,High,6,2,History,5,1.2131756619687333,PDF,3,104
Student_144,13,Male,UK,California,Toronto,Doctor,Low,3,5,Math,22,3.3507132716478134,Video,2,116
Student_145,18,Male,India,California,Houston,Other,Low,8,5,History,24,4.46376438693426,Book,2,124
Student_146,6,Male,India,California,Los Angeles,Other,High,8,8,History,29,2.780899159698369,PDF,4,81
Student_147,14,Female,Australia,California,Mumbai,Other,Middle,1,8,History,51,0.5002795209862302,PDF,5,91
Student_148,18,Female,UK,Ontario,Houston,Engineer,High,3,3,Computer Science,100,4.232832490517031,Book,3,104
Student_149,15,Male,Australia,Maharashtra,Mumbai,Business,Low,10,3,History,72,1.5113728594938662,PDF,1,85
Student_150,15,Female,UK,Maharashtra,Toronto,Doctor,High,8,10,History,41,1.3618959045724588,PDF,3,108
Student_151,10,Male,USA,California,Los Angeles,Other,High,1,10,Science,18,1.8883033328461398,Book,4,87
Student_152,18,Female,Australia,California,Toronto,Other,High,2,6,Math,30,1.3890326346717556,Video,3,108
Student_153,8,Female,UK,Ontario,New York City,Engineer,Low,6,11,English,98,4.315034333247066,Interactive Session,4,84
Student_154,16,Male,UK,Maharashtra,Los Angeles,Doctor,High,3,8,English,64,4.0484460639342,PDF,5,114
Student_155,7,Male,USA,Maharashtra,Los Angeles,Teacher,High,3,11,Math,6,3.3476918308962293,Book,4,81
Student_156,9,Female,India,Ontario,New York City,Other,Middle,7,3,Math,31,2.4570868665942003,Video,3,107
Student_157,12,Female,Australia,Ontario,Toronto,Engineer,Low,4,8,Science,15,0.8231832772737118,Interactive Session,1,139
Student_158,15,Male,UK,Texas,Los Angeles,Other,Middle,11,10,Computer Science,98,1.6834468598023897,Book,5,98
Student_159,8,Male,UK,Maharashtra,New York City,Engineer,Middle,9,11,Science,99,4.3756921741616495,Interactive Session,5,104
Student_160,18,Male,Australia,Texas,Houston,Other,Middle,5,8,History,69,1.451050438798592,Interactive Session,2,112
Student_161,12,Female,Canada,Texas,Los Angeles,Other,High,4,1,Computer Science,98,0.6122225086204232,Online Course,1,93
Student_162,16,Male,Australia,California,Houston,Doctor,High,12,8,Math,36,3.025674331961213,Book,3,130
Student_163,7,Female,India,Ontario,Mumbai,Other,Low,7,10,English,80,4.77305281003886,PDF,1,83
Student_164,9,Male,Canada,Texas,Los Angeles,Doctor,Middle,4,9,Science,4,1.0052864960575416,Online Course,3,84
Student_165,17,Female,Australia,New York,Toronto,Business,High,3,3,English,86,1.2291725465023426,Interactive Session,5,115
Student_166,17,Male,UK,Maharashtra,Mumbai,Doctor,Low,4,10,Math,61,1.832944195348406,Book,3,130
Student_167,16,Female,UK,Maharashtra,Los Angeles,Engineer,Middle,1,11,Science,35,0.976235718229904,PDF,3,91
Student_168,16,Female,India,Texas,Mumbai,Other,Middle,8,10,History,47,3.3710141837894145,Video,2,128
Student_169,9,Male,Canada,Ontario,New York City,Doctor,High,4,1,Computer Science,43,4.649536287077649,Interactive Session,4,104
Student_170,15,Male,UK,Ontario,Mumbai,Business,Low,6,3,Math,98,3.954292947026879,PDF,5,107
Student_171,17,Male,USA,Texas,Toronto,Teacher,High,8,12,Science,71,3.4885671163155902,PDF,5,107
Student_172,8,Male,USA,New York,Toronto,Doctor,Low,6,8,Math,39,3.9730835187649625,Online Course,3,130
Student_173,18,Female,USA,California,Toronto,Doctor,Middle,4,2,Math,28,3.139502982970064,Interactive Session,5,140
Student_174,10,Male,Australia,New York,New York City,Engineer,Middle,3,11,Science,23,1.4067043834840225,Video,1,100
Student_175,10,Male,India,Texas,Mumbai,Business,High,3,3,Math,22,4.3761329855851185,Interactive Session,4,102
Student_176,15,Female,Canada,Texas,Los Angeles,Business,Middle,10,10,Math,28,1.119628564093779,Online Course,3,133
Student_177,17,Male,India,Maharashtra,Toronto,Business,High,9,5,Science,19,2.3406690105473746,Online Course,2,139
Student_178,7,Male,UK,Texas,Los Angeles,Business,Middle,5,7,Math,95,4.201052984021073,PDF,2,127
Student_179,18,Female,USA,Texas,New York City,Engineer,High,11,8,Computer Science,35,2.0737508057747136,Online Course,4,96
Student_180,14,Male,Australia,Ontario,Toronto,Teacher,High,7,1,Computer Science,19,1.753164705226834,Interactive Session,4,136
Student_181,18,Female,Canada,California,Mumbai,Business,Low,3,11,Computer Science,71,4.3073601994192785,Book,5,111
Student_182,11,Female,Canada,California,Los Angeles,Business,High,8,8,English,49,3.440958315487324,PDF,4,83
Student_183,9,Male,India,Texas,New York City,Business,Low,9,10,English,86,2.0450384024197445,Online Course,4,109
Student_184,6,Female,UK,Texas,Houston,Doctor,Middle,4,12,English,89,4.159019720960564,Online Course,5,114
Student_185,6,Male,USA,California,Los Angeles,Engineer,High,1,8,Math,36,0.9057962581360699,Video,4,127
Student_186,15,Female,UK,Maharashtra,Toronto,Engineer,High,5,1,Science,96,0.7241765632995096,PDF,5,129
Student_187,8,Male,Australia,New York,Houston,Teacher,Low,7,9,Science,88,2.7755523290705995,Video,4,125
Student_188,15,Female,India,Texas,Los Angeles,Other,Low,10,4,Math,10,2.081114779625059,PDF,5,87
Student_189,10,Female,India,California,Los Angeles,Teacher,Middle,1,7,History,7,4.881828448012088,Interactive Session,4,131
Student_190,16,Female,UK,Texas,New York City,Business,Middle,6,4,History,37,4.735481944459667,Book,3,117
Student_191,17,Male,Australia,Maharashtra,Mumbai,Business,Middle,7,8,Science,21,0.8852451396988783,PDF,2,137
Student_192,12,Male,Australia,Ontario,Los Angeles,Business,High,4,3,English,53,2.6005544950336223,Video,3,114
Student_193,9,Male,Canada,Maharashtra,Toronto,Business,Middle,12,7,Math,36,1.4136141696340985,Video,1,133
Student_194,12,Male,Australia,Texas,Los Angeles,Teacher,Middle,3,6,English,18,3.6222800741333625,Video,1,97
Student_195,6,Male,India,Maharashtra,Toronto,Engineer,High,1,7,Computer Science,27,4.329342431040924,Online Course,2,129
Student_196,11,Female,Australia,Texas,Toronto,Doctor,Low,10,5,Math,80,0.943740193507224,Online Course,4,107
Student_197,12,Female,India,Texas,Los Angeles,Other,Low,6,6,Math,46,1.0993634929696496,PDF,3,122
Student_198,15,Female,USA,California,Houston,Business,High,4,2,Science,98,3.0713552432659528,Online Course,3,122
Student_199,7,Male,India,Maharashtra,Houston,Business,Middle,10,5,History,57,3.503848388119195,Book,3,136
Student_200,6,Female,UK,Texas,Houston,Other,Middle,11,2,Math,35,2.8586298193519406,Video,2,129
Student_201,13,Female,India,California,Toronto,Engineer,High,12,4,Science,8,3.1629348013788467,Interactive Session,5,93
Student_202,17,Male,UK,Maharashtra,New York City,Business,Low,5,5,English,89,4.190935941732786,Video,3,135
Student_203,10,Male,UK,Maharashtra,Los Angeles,Teacher,Low,5,11,English,44,3.1520799183272845,PDF,4,82
Student_204,13,Male,Australia,Ontario,Toronto,Engineer,High,8,4,Math,71,1.8927805339423724,Video,2,135
Student_205,14,Male,USA,Maharashtra,Houston,Doctor,Middle,5,9,Science,31,2.987923779372137,Online Course,2,129
Student_206,13,Male,USA,Texas,Los Angeles,Business,Low,6,3,Computer Science,2,2.927198339714919,Video,3,114
Student_207,10,Male,India,Ontario,Toronto,Other,High,2,4,Math,12,1.2480222023398284,Online Course,4,85
Student_208,11,Male,Australia,New York,Houston,Other,Low,1,6,Computer Science,17,3.582401615500594,Interactive Session,4,118
Student_209,17,Male,Australia,Maharashtra,Houston,Business,High,9,3,Math,75,4.0749961913266475,Online Course,5,103
Student_210,15,Male,India,Maharashtra,Los Angeles,Business,Low,5,9,Computer Science,12,4.6487270136636125,Online Course,4,101
Student_211,13,Male,India,Ontario,Mumbai,Engineer,Low,4,7,Science,31,0.5491922288950906,Interactive Session,1,104
Student_212,15,Female,UK,New York,Los Angeles,Other,Middle,1,10,Science,45,0.9037548877564952,PDF,5,139
Student_213,8,Female,Australia,New York,Mumbai,Teacher,Low,6,9,Math,86,4.909264947669013,Book,5,109
Student_214,10,Male,Canada,Ontario,New York City,Teacher,High,9,11,Math,67,1.9658251281922885,Online Course,4,116
Student_215,12,Female,Australia,Texas,Mumbai,Other,Middle,4,4,History,97,2.720392590573825,PDF,2,81
Student_216,6,Male,India,New York,Los Angeles,Other,Middle,12,4,English,61,2.216660366219953,Interactive Session,2,111
Student_217,10,Female,Australia,California,New York City,Doctor,Low,3,1,Math,16,3.5309726118365683,PDF,2,109
Student_218,14,Male,Canada,California,Toronto,Engineer,Low,3,5,English,94,1.7265562604410978,Book,5,129
Student_219,7,Male,India,Maharashtra,Houston,Engineer,Middle,8,11,Science,69,3.6133845725544846,Online Course,3,88
Student_220,8,Male,India,California,Los Angeles,Teacher,High,4,8,Math,67,4.719533184230007,Online Course,2,129
Student_221,16,Female,USA,California,Houston,Other,Low,4,1,Science,79,4.541684946523928,Video,3,95
Student_222,12,Male,Canada,Maharashtra,Mumbai,Engineer,High,12,3,Science,83,2.942599331581402,Video,1,109
Student_223,14,Male,India,New York,New York City,Business,Low,3,3,English,5,1.5558014830647524,PDF,5,83
Student_224,11,Female,USA,Ontario,Los Angeles,Business,Middle,11,4,History,23,2.9685555258426373,Interactive Session,2,80
Student_225,6,Female,USA,Ontario,Los Angeles,Other,Low,10,3,History,11,0.8712403511228353,Online Course,4,87
Student_226,7,Male,USA,New York,Houston,Teacher,Low,12,1,English,13,4.225750174707992,Video,2,139
Student_227,7,Female,USA,California,Houston,Business,High,5,12,English,60,3.0630819308487682,Online Course,5,96
Student_228,17,Male,India,Maharashtra,Houston,Teacher,High,6,12,Computer Science,98,3.6001109643875875,Interactive Session,1,97
Student_229,18,Female,Canada,Ontario,Houston,Business,Middle,6,9,Science,1,3.8494460900504235,Video,3,81
Student_230,11,Male,Canada,Texas,New York City,Business,Low,2,4,English,31,0.6255671694693858,Interactive Session,5,100
Student_231,11,Female,India,California,Los Angeles,Teacher,High,7,11,History,92,0.7825672348187237,Online Course,4,114
Student_232,16,Male,Canada,New York,Mumbai,Business,High,3,8,Computer Science,38,4.096969430504963,PDF,2,102
Student_233,13,Female,Canada,New York,New York City,Doctor,Low,4,2,English,98,1.9126088239431107,Interactive Session,2,133
Student_234,16,Male,Australia,Ontario,New York City,Teacher,Low,4,9,Computer Science,45,4.559631961873183,Book,4,139
Student_235,8,Male,USA,California,Los Angeles,Teacher,Middle,6,6,History,2,1.5687123509453518,Book,2,92
Student_236,12,Male,UK,Ontario,Los Angeles,Doctor,Middle,11,9,Computer Science,94,4.877188512948023,Video,4,102
Student_237,12,Female,Canada,New York,Mumbai,Doctor,Low,9,10,Math,89,2.3238723353090416,Interactive Session,5,132
Student_238,13,Female,Canada,Maharashtra,Los Angeles,Other,High,9,11,History,16,4.19744340380001,Book,2,80
Student_239,15,Female,USA,Ontario,New York City,Engineer,High,6,7,English,6,1.1925138192455926,Book,1,139
Student_240,16,Male,USA,Texas,Mumbai,Teacher,Low,11,9,Computer Science,26,2.7620817515617038,Online Course,1,114
Student_241,16,Male,USA,California,Houston,Business,Low,5,12,History,23,1.9060543856454895,PDF,5,119
Student_242,13,Male,Australia,New York,Los Angeles,Business,Middle,11,2,Science,4,1.3264365958023419,Online Course,5,132
Student_243,18,Female,USA,Ontario,Toronto,Teacher,High,6,1,History,10,2.3214080703208504,Online Course,2,104
Student_244,7,Female,UK,Texas,New York City,Teacher,High,9,4,Math,53,3.400878449922137,PDF,2,118
Student_245,16,Male,Canada,Texas,Mumbai,Other,Low,9,8,Science,54,3.6454412601006307,Online Course,5,104
Student_246,8,Male,Australia,Ontario,Mumbai,Teacher,Middle,5,1,History,20,4.126672919384784,PDF,4,83
Student_247,17,Female,India,Ontario,New York City,Engineer,Middle,9,6,Computer Science,8,4.125911246925792,Interactive Session,3,124
Student_248,9,Male,India,Texas,Houston,Other,High,5,1,English,52,1.0901791254856446,Interactive Session,4,132
